2               2
2.02         2.76828
2.04768         3.98552
2.08754         5.60418
2.14358           7.571
2.21929         9.83102
2.3176         12.3282
2.44088         15.0034
2.59092         17.7905
2.76882         20.6143
2.97496         23.3909
3.20887         26.0331
3.4692         28.4612
3.75382         30.6185
4.06         32.4873
4.38487         34.1019
4.72589         35.5524
5.08142          36.973
5.45115         38.5126
5.83627         40.2892
6.23917         42.3386
6.66255          44.574
7.10829         46.7775
7.57607         48.6396
8.06246         49.8441
8.5609         50.1747
9.06265         49.5978
9.55863         48.2796
10.0414         46.5231
10.5067         44.6522
10.9532         42.8995
11.3822         41.3449
11.7956         39.9253
12.1949         38.4945
12.5798         36.8993
12.9488         35.0391
13.2992         32.8939
13.6281         30.5214
13.9334         28.0326
14.2137         25.5588
14.4693         23.2204
14.7015         21.1043
14.9125         19.2517
15.105         17.6569
15.2816         16.2741
15.4443         15.0301
15.5946         13.8388
15.733         12.6156
15.8592         11.2905
15.9721         9.81729
16.0703         8.18007
16.1521         6.39664
16.216          4.5187
16.2612         2.62898
16.2875        0.834585
16.2959       -0.743954
16.2884        -1.98826
16.2685        -2.80075
16.2405        -3.12283
16.2093        -2.94729
16.1798        -2.32029
16.1566        -1.33104
16.1433      -0.0922771
16.1424         1.28241
16.1552         2.69782
16.1822         4.08902
16.2231         5.42479
16.2773         6.70409
16.3444         7.94775
16.4238         9.18764
16.5157         10.4552
16.6203          11.771
16.738         13.1369
16.8694         14.5316
17.0147         15.9109
17.1738         17.2117
17.3459         18.3611
17.5295         19.2866
17.7224         19.9288
17.9217         20.2514
18.1242         20.2493
18.3267          19.951
18.5262          19.417
18.7203         18.7316
18.9077         17.9924
19.0876         17.2957
19.2605         16.7234
19.4278         16.3307
19.5911         16.1387
19.7525         16.1314
19.9138         16.2581
20.0764         16.4411
20.2408         16.5865
20.4066         16.5963
20.5726         16.3809
20.7364          15.869
20.8951         15.0138
21.0452         13.7963
21.1832         12.2236
21.3054         10.3248
21.4087         8.14546
21.4901         5.74191
21.5476         3.17647
21.5793        0.515527
21.5845        -2.16988
21.5628        -4.80119
21.5148        -7.28847
21.4419        -9.52794
21.3466        -11.4034
21.2326        -12.7946
21.1046        -13.5922
20.9687        -13.7188
20.8315        -13.1482
20.7        -11.9166
20.5809        -10.1188
20.4797         -7.8916
20.4008        -5.38839
20.3469        -2.75676
20.3193       -0.123717
20.3181         2.40886
20.3422         4.76134
20.3898          6.8701
20.4585         8.68167
20.5453         10.1491
20.6468         11.2313
20.7591         11.8948
20.8781         12.1169
20.9992         11.8881
21.1181         11.2145
21.2302         10.1173
21.3314         8.63146
21.4177         6.80273
21.4858         4.68452
21.5326         2.33561
21.556        -0.18038
21.5542        -2.79324
21.5262        -5.42234
21.472        -7.97198
21.3923        -10.3281
21.289        -12.3594
21.1654        -13.9265
21.0261        -14.8997
20.8771        -15.1838
20.7253        -14.7425
20.5779        -13.6131
20.4418        -11.9024
20.3227        -9.76575
20.2251         -7.3762
20.1513        -4.89624
20.1023        -2.46027
20.0777       -0.169986
20.076         1.90103
20.0951         3.69858
20.132         5.17938
20.1838         6.30533
20.2469         7.04126
20.3173         7.35565
20.3909         7.22358
20.4631         6.63058
20.5294         5.57671
20.5852         4.08052
20.626         2.18254
20.6478      -0.0512517
20.6473         -2.5265
20.622        -5.11862
20.5708        -7.67411
20.4941         -10.018
20.3939        -11.9704
20.2742        -13.3723
20.1405        -14.1174
19.9993        -14.1792
19.8575         -13.622
19.7213        -12.5884
19.5954        -11.2665
19.4827        -9.85031
19.3842        -8.50642
19.2992        -7.35634
19.2256        -6.47336
19.1609        -5.88974
19.102         -5.6087
19.0459        -5.61661
18.9897         -5.8931
18.9308         -6.4179
18.8666        -7.17361
18.7949        -8.14471
18.7134        -9.31286
18.6203        -10.6492
18.5138        -12.1053
18.3928        -13.6037
18.2567        -15.0322
18.1064        -16.2452
17.944        -17.0749
17.7732        -17.3572
17.5996        -16.9661
17.43        -15.8499
17.2715        -14.0526
17.1309        -11.7115
17.0138        -9.02858
16.9235        -6.22864
16.8613        -3.52197
16.826        -1.08105
16.8152        0.966248
16.8249         2.53275
16.8502          3.5639
16.8859         4.03019
16.9262         3.92225
16.9654          3.2487
16.9979          2.0365
17.0182        0.333014
17.0216         -1.7904
17.0037        -4.23405
16.9613        -6.86582
16.8927        -9.52001
16.7975        -12.0027
16.6774        -14.1079
16.5364        -15.6473
16.3799        -16.4882
16.215        -16.5899
16.0491        -16.0206
15.8889        -14.9456
15.7394        -13.5883
15.6036        -12.1805
15.4818        -10.9221
15.3725        -9.95923
15.2729        -9.38109
15.1791        -9.22877
15.0868        -9.50821
14.9918        -10.2023
14.8897        -11.2796
14.7769         -12.698
14.65        -14.4037
14.5059        -16.3263
14.3427         -18.371
14.159        -20.4108
13.9548        -22.2847
13.732        -23.8041
13.494        -24.7766
13.2462        -25.0423
12.9958        -24.5172
12.7506        -23.2248
12.5183         -21.299
12.3054        -18.9547
12.1158        -16.4376
11.9514        -13.9755
11.8117        -11.7491
11.6942        -9.88365
11.5953        -8.45605
11.5108        -7.50697
11.4357        -7.05166
11.3652        -7.08547
11.2943        -7.58368
11.2185        -8.49651
11.1335         -9.7412
11.0361        -11.1939
10.9242        -12.6854
10.7973        -14.0068
10.6573        -14.9293
10.508        -15.2426
10.3556        -14.8035
10.2075        -13.5809
10.0717        -11.6745
9.95497        -9.29474
9.86202        -6.71292
9.79489        -4.20211
9.75287        -1.99362
9.73293       -0.257431
9.73036        0.897796
9.73933         1.41516
9.75349         1.27888
9.76628        0.507209
